Date,Year,Type,Country,State,Location,Activity,Sex,Age,Injury,Time
30-Oct-2002,2002.0,Unprovoked,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,60,Left foot bitten ,11h56
11-Oct-2002,2002.0,Unprovoked,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,21,Left foot bitten,Sunset
05-Oct-2002,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Abrasions on right hand & deep laceration on middle finger,12h00
05-Oct-2002,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,35,Heel & back of right knee lacerated,13h30
03-Oct-2002,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left hand lacerated and abraded,14h35
30-Sep-2002,2002.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,47,Right hand severely lacerated,16h20
29-Sep-2002,2002.0,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,32,Left hand bitten,07h30
27-Sep-2002,2002.0,Unprovoked,USA,Hawaii,"Kahala, O'ahu",Fishing from Surfboard,M,55,"No injury, surfboard bitten ",15h35
27-Sep-2002,2002.0,Provoked,USA,Florida,"Key Largo, Monroe County",Fishing,M,  ,Left thumb lacerated PROVOKED INCIDENT,Afternoon
21-Sep-2002,2002.0,Unprovoked,USA,Oregon,Cape Kiwanda,Boogie boarding or Surfing,M,24, Ankle lacerated, 
21-Sep-2002,2002.0,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,35,No injury,Early Morning
16-Sep-2002,2002.0,Unprovoked,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,,,"No injury, shark fin seen just before board ripped away & dragged out to sea",07h50
09-Sep-2002,2002.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Boogie boarding,M,20,Bitten above & below right knee,15h55
05-Sep-2002,2002.0,Provoked,USA,Florida,"Daytona Beach Shores, Volusia County","Wading, when he stepped on the shark",M,36,2 small puncture wounds on left foot PROVOKED INCIDENT,17h45
28-Aug-2002,2002.0,Unprovoked,USA,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,M,16,Left foot lacerated ,15h45
17-Aug-2002,2002.0,Unprovoked,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,29,Both arms & leg bitten,17h00
14-Aug-2002,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,Big toe bitten,14h45
11-Aug-2002,2002.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,15,Lacerations on heel & dorsum of right foot,15h30
07-Aug-2002,2002.0,Unprovoked,USA,Florida,"Ponce De Leon Inlet, Volusia County",Standing,M,15,Ankle & leg lacerated,12h30
05-Aug-2002,2002.0,Unprovoked,USA,North Carolina,"Topsail Beach, Pender County",Standing,M,14,Leg lacerated,11h00
26-Jul-2002,2002.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Surfing,M,13,Heel bitten,19h00
20-Jul-2002,2002.0,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,15,Calf bitten,17h00
10-Jul-2002,2002.0,Provoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,18h45
09-Jul-2002,2002.0,Provoked,USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",Shark Fishing,M,41,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Shortly after midnight
04-Jul-2002,2002.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Standing,F,9,"Calf, foot & hand bitten",17h15
20-Jun-2002,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,11,Small lacerations on right lower leg,14h25
11-Jun-2002,2002.0,Unprovoked,USA,Hawaii,"Anini Beach, Kaua'i",Sitting on surfboard,,,"No injury, shark bit side of surfboard",13h345
10-Jun-2002,2002.0,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Surfing,M,28,Right hand lacerated,13h00
09-Jun-2002,2002.0,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,50,6-inch gash on right foot,10h40
09-Jun-2002,2002.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,10,Right calf lacerated,13h00
31-May-2002,2002.0,Unprovoked,USA,California,"Stinson Beach, Marin County",Surfing,M,24,Lacerated leg & back,14h15
31-May-2002,2002.0,Unprovoked,USA,Florida,"St. George Island (near Apachicola), Franklin County",Floating on a raft,M,16,Lacerated foot,16h15
22-May-2002,2002.0,Provoked,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island ","Fishing, removing the shark from his line",M,55,Leg bitten by hooked shark PROVOKED INCIDENT,17h15
22-May-2002,2002.0,Unprovoked,USA,Florida,"Atlantic Avenue, Palm Beach County",Playing in the surf with his 2 dogs,M,35,"2-inch wound on dorsum of right foot, 1-inch wound on sole",06h47
13-May-2002,2002.0,Unprovoked,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,31,Laceration to arm.,
20-Apr-2002,2002.0,Unprovoked,USA,Florida,"St. Augustine Beach, St. Johns County","Surfing, but standing in water alongside board",M,34,Left foot bitten,10h30
18-Apr-2002,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,28,Left foot bitten,11h10
02-Apr-2002,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,41,Two half-inch lacerations on right heel and one near small toe,15h00
01-Apr-2002,2002.0,Unprovoked,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming / Wading,M,29,Upper left arm bitten,11h30
25-Mar-2002,2002.0,Unprovoked,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",Body-boarding,M,17,Left leg severed below knee,12h00
25-Mar-2002,2002.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Wading,F,11,Foot bitten,10h10
19-Mar-2002,2002.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming /  boogie boarding,M,20,Punctures on left foot and foot ,15h45
15-Mar-2002,2002.0,Unprovoked,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,M,39,Arm bitten,Morning
15-Mar-2002,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31,Several  puncture wounds on lower right leg,10h55
01-Jan-2002,2002.0,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,M,35,Lacerations to buttocks & thigh,13h00
14-Nov-2001,2001.0,Unprovoked,USA,Hawaii,"Kapalua, Maui",Surfing,,,"No injury, portion of board's lower surface removed",17h00
24-Sep-2001,2001.0,Provoked,USA,Florida,"Ponce Inlet, Volusia County","Surfing, fell off surfboard & stepped on the shark.",M,21,PROVOKED INCIDENT Several small lacerations on left foot ,16h20
18-Sep-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,"1"" to 2"" cuts on right ankle & foot",15h00
16-Sep-2001,2001.0,Invalid,USA,Florida,"2 miles off Pompano Beach, Broward County",Wreck / Technical diving,M,42,FATAL or drowning & scavenging,13h20
15-Sep-2001,2001.0,Unprovoked,USA,Florida,A quarter mile north of Fort Pierce Inlet,Boogie boarding,M,6½,"2 lacerations on lower back, punctures on buttock",15h00
15-Sep-2001,2001.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Surfing,M,16,Foot bitten,13h45
08-Sep-2001,2001.0,Provoked,USA,Florida,"Everglades National Park, Monroe County",Fishing,M,44,Fingers & leg lacerated  by hooked shark PROVOKED INCIDENT,
07-Sep-2001,2001.0,Unprovoked,USA,Florida,"Key Biscayne, Dade County",Walking in shallows,M,13,Minor injury to left leg,18h40
07-Sep-2001,2001.0,Invalid,USA,South Carolina,"Waites Island, Horry County",Swimming,F,,Left hand injured,
03-Sep-2001,2001.0,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming ,M,28,FATAL,18h00
03-Sep-2001,2001.0,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,F,23,Left buttock & foot  severed,18h00
02-Sep-2001,2001.0,Unprovoked,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",Wading,M,20,Right calf lacerated,Afternoon
01-Sep-2001,2001.0,Unprovoked,USA,Virginia,"Sandbridge Beach, Princess Anne County",Swimming ,M,10,"FATAL, thigh bitten ",18h00
29-Aug-2001,2001.0,Unprovoked,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,F,29,Punctures & lacerations on elbow & forearm,13h30
27-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,69,Heel lacerated,16h20
26-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,M,18,Thigh & foot bitten,16h00
25-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,M,18,Upper left thigh & right foot bitten,14h00
22-Aug-2001,2001.0,Unprovoked,USA,Florida,"Daytona, Volusia County ",Surfing,M,17,Foot lacerated,16h20
21-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,Thigh lacerated,16h00
19-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,32,Cuts on right foot,13h14
19-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,17,Lacerations to lower leg,13h06
19-Aug-2001,2001.0,Unprovoked,USA,Florida,"Wilbur-by-the-Sea, Volusia County",Surfing,F,17,Left foot lacerated,11h20
18-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,Cuts on right foot,12h30
18-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Back of left hand gashed,12h05
18-Aug-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Left ankle bitten,10h00
05-Aug-2001,2001.0,Unprovoked,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",,F,,Toe bitten,
26-Jul-2001,2001.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,F,,Survived,
25-Jul-2001,2001.0,Unprovoked,USA,Florida,"Taverniier, Monroe County",,M,,Minor injury,16h00
24-Jul-2001,2001.0,Unprovoked,USA,Florida,"Marathon , Monroe County",,F,,2 bites behind knee,
21-Jul-2001,2001.0,Watercraft,USA,Massachusetts,Chatham Island,Fishing,,,No Injury to occupants; shark bumped the boat ,
15-Jul-2001,2001.0,Unprovoked,USA,Florida,"Santa Rosa Island, Escambia County",Surfing,M,48,Left foot & heel lacerated,14h30
15-Jul-2001,2001.0,Unprovoked,USA,Florida,"Amelia Island, Nassau County",Boogie boarding,M,18,Foot lacerated,14h30
06-Jul-2001,2001.0,Unprovoked,USA,Florida,Gulf Islands National Seashore,Swimming,M,8,"Arm severed, surgically reattached",Dusk
03-Jul-2001,2001.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County ",,,,Hand bitten,
Jul-2001,2001.0,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",Floating face-down in knee-deep water,M,35,2-inch cut on dorsum of left foot,18h30
12-Jun-2001,2001.0,Unprovoked,USA,Texas,Padre Island National Seashore,Swimming,M,14,Leg lacerated,
10-Jun-2001,2001.0,Provoked,USA,California,Catalina Island,Spearfishing,M,52,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",09h00
03-Jun-2001,2001.0,Unprovoked,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,F,29,3 puncture wounds on each side of her left  hand,Shortly before 13h00
29-May-2001,2001.0,Unprovoked,USA,Texas,Galveston Island,,M,16,Survived,
23-May-2001,2001.0,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,M,11,Shin lacerated,
20-May-2001,2001.0,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Swimming,M,,5.5-inch laceration on calf,19h00
03-May-2001,2001.0,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,45,Foot lacerated ,19h00
28-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,14,4 small lacerations on lower right leg,15h49
13-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Foot & ankle lacerated,11h00
13-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,12,Right foot & ankle lacerated,10h55
12-Apr-2001,2001.0,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",,M,mid-30s,Right ankle & lower leg lacerated,16h00
12-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38,Foot & ankle lacerated,16h45
12-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Small cuts on big & pinky toes of left foot,16h05
12-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,12,Foot & ankle lacerated,12h34
12-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,Foot lacerated,11h53
11-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Minor cuts on right heel & foot,8:04 pm
11-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,22,Lacerations to top & bottom of left foot,12h46
11-Apr-2001,2001.0,Unprovoked,USA,Hawaii,"Ewa Beach, O'ahu",Surfing,M,,Minor punctures & lacerations on left hand ,07h00
10-Apr-2001,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,,16,Foot lacerated,
05-Apr-2001,2001.0,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Standing alongside surfboard,M,26,Minor lacerations to dorsum of left foot,14h45
23-Mar-2001,2001.0,Unprovoked,USA,Hawaii,"Sandy Beach, Oahu",Body-boarding,M,,"Minor cuts on left hand, body board bitten",14h40
09-Mar-2001,2001.0,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",Surfing,M,,Fingers & hand lacerated,
09-Jan-2001,2001.0,Unprovoked,USA,California,"Sunset Cliffs, San Diego",Surfing,M,,"Foot bruised, board dinged",
17-Nov-2000,2000.0,Unprovoked,USA,Florida,"Bonita Springs, Lee County",Swimming,M,73,Right calf lacerated,12h00
10-Nov-2000,2000.0,Invalid,USA,Florida,"Vaughn Beach, Flagler County",Walking,F,27,No injury,
04-Nov-2000,2000.0,Unprovoked,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,M,27,Both thighs bitten,16h30
20-Oct-2000,2000.0,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,M,23,Leg lacerated,18h00
18-Oct-2000,2000.0,Unprovoked,USA,Hawaii,Olowalu,Swimming / snorkeling,F,56,Right side of back / torso lacerated,11h20
14-Oct-2000,2000.0,Unprovoked,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,M,69,Right hand lacerated,15h30
09-Oct-2000,2000.0,Unprovoked,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,M,17,Foot lacerated,Morning
06-Oct-2000,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Fingers lacerated,14h30
06-Oct-2000,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,11,Right foot & heel lacerated,12h48
02-Oct-2000,2000.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,M,24,Upper left arm lacerated,16h30
29-Sep-2000,2000.0,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Sitting on surfboard,M,,No injury,09h00
16-Sep-2000,2000.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",,,,Non-fatal,
15-Sep-2000,2000.0,Unprovoked,USA,Florida,"Fort Pierce Inlet, St Lucie County",Standing / surfing,M,49,Right lower leg & ankle lacerated,18h00
12-Sep-2000,2000.0,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,F,26,Puncture wounds on knee,12h00
11-Sep-2000,2000.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming / Body surfing,M,25,Finger lacerated,13h20
10-Sep-2000,2000.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,M,8,Minor injury to arm and hand,17h42
08-Sep-2000,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,40,Left foot lacerated ,11h45
31-Aug-2000,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,47,Punctures & lacerations on right foot,12h35
30-Aug-2000,2000.0,Unprovoked,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",Jumped into the water,M,69,FATAL,16h00
Reported 27-Aug-2000,2000.0,Provoked,USA,Alaska,Prince William Sound,Conducting research,M,,Leg bitten by netted shark PROVOKED INCIDENT,
21-Aug-2000,2000.0,Unprovoked,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming out to porpoises ,M,,"Severe gash to left hand above wrist, almost severing hand",
15-Aug-2000,2000.0,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui","Windsurfing, but sitting on his board",M,53,Left calf lacerated,11h50
13-Aug-2000,2000.0,Unprovoked,USA,Florida,"South Jacksonville Beach, Duval County",Surfing / Wading,M,27,Minor lacerations to the dorsum of the right foot,16h30
12-Aug-2000,2000.0,Unprovoked,USA,Florida,"St. Augustine, St. Johns County",Standing,F,44,Severely bitten on lower leg ,16h45
11-Aug-2000,2000.0,Invalid,USA,North Carolina,"Emerald Isle, Carteret County",Swimming ,M,,Non-fatal,Possibly same incident as 2000.08.21
10-Aug-2000,2000.0,Invalid,USA,Florida,Florida Keys,Attempting to illegally enter the USA,M,23 & 20,Shark involvement probably post-mortem,
25-Jul-2000,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,M,5,Minor laceration on left leg,
22-Jul-2000,2000.0,Unprovoked,USA,Florida,"Big Pine Key, Monroe County ",Snorkeling,F,45,Leg pinched,
17-Jul-2000,2000.0,Unprovoked,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",Surfing,M,16,Foot lacerated,
16-Jul-2000,2000.0,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Surfing,M,14,Minor lacerations on foot,
10-Jul-2000,2000.0,Unprovoked,USA,Florida,"Daytona  Beach, Volusia County",Wading,M,13,Minor laceration & 3 punctures to right foot,15h45
09-Jul-2000,2000.0,Unprovoked,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",Swimming ,M,41,Knee & calf lacerated,18h00
07-Jul-2000,2000.0,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Jumping,M,5,Ankle & foot lacerated,
06-Jul-2000,2000.0,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",Playing,F,12,Calf lacerated,16h30
04-Jul-2000,2000.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,20,Left inner thigh,18h00
04-Jul-2000,2000.0,Unprovoked,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County","Spearfishing, holding mesh bag with speared fish",F,55,Lower right calf lacerated,12h00
02-Jul-2000,2000.0,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,13,Left calf & hand lacerated,17h00
02-Jul-2000,2000.0,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,F,19,Left thigh lacerated,14h45
19-Jun-2000,2000.0,Unprovoked,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Standing,M,52,Right ankle lacerated,07h50
13-Jun-2000,2000.0,Watercraft,USA,Florida,"Pensacola Bay, Escambia County",Sailing,,,"No injury to occupants, boat's rear platform bitten",14h30
10-Jun-2000,2000.0,Unprovoked,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Surfing,M,17,Foot lacerated,16h00
09-Jun-2000,2000.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,55,Puncture wounds on right hip and arm,06h45
09-Jun-2000,2000.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming ,M,44,Right forearm severed surgically amputated above elbow,06h45
02-Jun-2000,2000.0,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,M,13,Right forearm lacerated,14h55
14-Apr-2000,2000.0,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Walking,M,34,Left foot lacerated,11h57
09-Apr-2000,2000.0,Unprovoked,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",Boogie boarding / wading,M,,Puncture marks on right thigh,14h30
31-Mar-2000,2000.0,Unprovoked,USA,Florida,Santa Rosa Sound Escambia County,Fishing,M,,"No Injury, bumped by shark",
26-Mar-2000,2000.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Boogie boarding,F,14,Right knee lacerated,11h15
24-Mar-2000,2000.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,37,Left hand bitten,14h00
Mar-2000,2000.0,Unprovoked,USA,Louisiana,Midnight Lump (38 miles offshore),Spearfishing,M,39,"No injury to diver, speargun damaged",16h00
21-Feb-2000,2000.0,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",,M,27,Right calf bitten,Afternoon
2000,2000.0,Watercraft,USA,Florida,"Boca Grande, Lee County",Fishing for tarpon,M,,No injury to occupant; shark bit propeller,
14-Dec-1999,1999.0,Invalid,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands",Scuba diving,M,,"Presumed taken by a shark,  but forensic evidence suggested otherwise.",
02-Dec-1999,1999.0,Unprovoked,USA,Florida,"Boynton Beach, Palm Beach County",Surfing,M,35,Right arm & fingers lacerated,12h30
30-Nov-1999,1999.0,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,19,Lacerations to hand & wrist,15h30
23-Nov-1999,1999.0,Unprovoked,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",Swimming,F,51,"Buttock bitten, hands lacerated",17h20
15-Nov-1999,1999.0,Unprovoked,USA,California,"Waddell Reef, Santa Cruz County",Surfing (sitting on his board),M,,"No injury, board bitten",
30-Oct-1999,1999.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Body boarding,M,45,Right foot lacerated,17h30
30-Oct-1999,1999.0,Unprovoked,USA,Florida,"Gulfstream Park beach, Palm Beach County",Body surfing,M,13,"Shark bit 8"" chunk from swim fin",15h00
20-Oct-1999,1999.0,Unprovoked,USA,Florida,"Pet Den, Satellite Beach, Brevard County",Surfing,M,,Lacerations to right hand & wrist,Noon
01-Oct-1999,1999.0,Unprovoked,USA,Hawaii,Old Kona Airport State Park,"Surfing, lying on surfboard",M,16,Right arm bitten,18h30
29-Sep-1999,1999.0,Unprovoked,USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",Wading to shore after surfing,M,22,3 one-inch lacerations to sole of right foot,18h45
19-Sep-1999,1999.0,Watercraft,USA,California,"North of Pidgeon Point, San Mateo County",Kayaking,M,37,"No injury, but kayak scraped & dented",18h30
Reported 16-Sep-1999,1999.0,Unprovoked,USA,Florida,"Cape Canaveral, Brevard County",Wading,F,61,Thigh (posterior) bitten,
10-Sep-1999,1999.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Wading,F,10,Toes lacerated,Afternoon
05-Sep-1999,1999.0,Unprovoked,USA,Florida,"Fort Pierce Inlet, St. Lucie County",Surfing,M,13,Right foot bitten,
04-Sep-1999,1999.0,Provoked,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",Wading,M,7,Left knee nipped by captive shark PROVOKED INCIDENT,
04-Sep-1999,1999.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Wading with surfboard,M,39,Right foot bitten,19h00
26-Aug-1999,1999.0,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Surfing,M,28,3-inch laceration to right foot,14h30
24-Aug-1999,1999.0,Unprovoked,USA,North Carolina,"Fort Fisher, New Hanover County",Surfing,M,,Foot injured,
21-Aug-1999,1999.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Small lacerations to right foot,18h40
16-Aug-1999,1999.0,Unprovoked,USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County",Lying prone in 2' of water,M,10,"Ear lacerated, cuts on scalp, back, arm & shoulder ",17h40
05-Aug-1999,1999.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,62,Right ankle & heel  lacerated,11h25
26-Jul-1999,1999.0,Unprovoked,USA,Florida,"Two miles off Key Colony Beach, Monroe County",Swimming with dolphins,M,43,Ankle bitten,18h25
21-Jul-1999,1999.0,Unprovoked,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),Surfing,M,43,Right thigh & buttock bitten,10h28
06-Jul-1999,1999.0,Unprovoked,USA,South Carolina,Charleston,,M,,Five cuts on his heel,
04-Jul-1999,1999.0,Unprovoked,USA,Florida,"Pensacola  Beach, Escambia County",Wading in school of baitfish,F,30,Lacerations knee to ankle,Afternoon
19-Jun-1999,1999.0,Unprovoked,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Adrift in a life jacket,M,20,9-inch gash in left foot ,
17-Jun-1999,1999.0,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,21,Right hand and wrist lacerated,09h15
12-Jun-1999,1999.0,Unprovoked,USA,Florida,"Atlantiic Beach, Duval County",Swimming,M,41,8-inch bite on calf,13h15
09-Jun-1999,1999.0,Unprovoked,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Splashing / wading,M,5,Knee lacerated,16h00
01-Apr-1999,1999.0,Unprovoked,USA,Florida,"Hobe Sound Beach, Palm Beach County",Surfing,M,14,Ankle bitten,
18-Mar-1999,1999.0,Unprovoked,USA,Hawaii,"Olowalu side of Lahina, Maui ","Swimming, towing a kayak",F,29,"FATAL, arm bitten ",20h30
08-Mar-1999,1999.0,Unprovoked,USA,Hawaii,"Kealia Beach, Kaua'i",Body surfing or body boarding,M,18,Bruised right leg,
05-Mar-1999,1999.0,Unprovoked,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",Swimming near pod of whales,F,29,Tissue removed knee to thigh,10h45
26-Feb-1999,1999.0,Watercraft,USA,North Carolina,Frying Pan Shoals,Cruising,,,"No injury to occupants, boat sank after colliding with shark",
03-Feb-1999,1999.0,Unprovoked,USA,Florida,"Hobe Sound, Martin County",Surfing,M,25,Left hand bitten,15h30
1999,1999.0,Invalid,USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County",Body surfing,M,,Abrasions,
